Episode,Date,Host,Guest,Project / Company
Episode 17,"March 24, 2007","Leo Laporte, Chris DiBona","[Jon ""maddog"" Hall](Jon_""maddog""https://en.wikipedia.org/wiki/_Hall)",[Linux International](https://en.wikipedia.org/wiki/Linux_International)
Episode 18,"July 21, 2007","Leo Laporte, Randal Schwartz",Josh Berkus,[PostgreSQL](https://en.wikipedia.org/wiki/PostgreSQL)
Episode 19,"September 1, 2007","Leo Laporte, Randal Schwartz",[Junio Hamano](https://en.wikipedia.org/wiki/Junio_Hamano),[git](git_(software)https://en.wikipedia.org/wiki/)
Episode 20,"October 17, 2007","Leo Laporte, Randal Schwartz",Jay Shirley,[Catalyst](Catalyst_(software)https://en.wikipedia.org/wiki/)
Episode 21,"November 23, 2007","Leo Laporte, Randal Schwartz",Avi Bryant,[Seaside Smalltalk Web Application Framework](Seaside_(software)https://en.wikipedia.org/wiki/)
Episode 22,"December 22, 2007","Leo Laporte, Randal Schwartz",[Fernanda Weiden](https://en.wikipedia.org/wiki/Fernanda_Weiden),[Google](https://en.wikipedia.org/wiki/Google)
Episode 23,"January 4, 2008","Leo Laporte, Randal Schwartz",Nate Koechley,[YUI Library](https://en.wikipedia.org/wiki/YUI_Library)
Episode 24,"February 8, 2008","Leo Laporte, Randal Schwartz","David Kirk Buck, Chris Cason",[POV-Ray](POV-https://en.wikipedia.org/wiki/Ray)
Episode 25,"February 29, 2008","Leo Laporte, Randal Schwartz","Campbell Barton, Brecht van Lommel",[Blender](Blender_(software)https://en.wikipedia.org/wiki/)
Episode 26,"March 7, 2008","Leo Laporte, Randal Schwartz",[D. Richard Hipp](D.https://en.wikipedia.org/wiki/_Richard_Hipp),[SQLite](https://en.wikipedia.org/wiki/SQLite)
Episode 27,"March 21, 2008","Leo Laporte, Randal Schwartz",[Ward Cunningham](https://en.wikipedia.org/wiki/Ward_Cunningham),"[WikiWikiWeb](https://en.wikipedia.org/wiki/WikiWikiWeb) (the first [Wiki](https://en.wikipedia.org/wiki/Wiki)), [AboutUs.org](AboutUs.https://en.wikipedia.org/wiki/org)"
Episode 28,"April 4, 2008","Leo Laporte, Randal Schwartz",[Greg Stein](https://en.wikipedia.org/wiki/Greg_Stein),"[WebDAV](https://en.wikipedia.org/wiki/WebDAV), [Google](https://en.wikipedia.org/wiki/Google)"
Episode 29,"May 23, 2008","Leo Laporte, Randal Schwartz",[Dan Ingalls](https://en.wikipedia.org/wiki/Dan_Ingalls),"[Smalltalk](https://en.wikipedia.org/wiki/Smalltalk), [Squeak](https://en.wikipedia.org/wiki/Squeak)"
Episode 30,"June 28, 2008","Leo Laporte, Randal Schwartz","Philip Papadopoulos, Greg Bruno",[Rocks Cluster Distribution](https://en.wikipedia.org/wiki/Rocks_Cluster_Distribution)
Episode 31,"July 5, 2008","Leo Laporte, Randal Schwartz",Tom Barbalet,Noble Ape (now ApeSDK)
Episode 32,"July 14, 2008","Leo Laporte, Randal Schwartz",John Roberts,[SugarCRM](https://en.wikipedia.org/wiki/SugarCRM)
Episode 33,"July 19, 2008","Leo Laporte, Randal Schwartz","Dalibor Topic, [Bruno Souza](Bruno_Souza_(programmer)https://en.wikipedia.org/wiki/)",[OpenJDK](https://en.wikipedia.org/wiki/OpenJDK)
Episode 34,"July 26, 2008","Leo Laporte, Randal Schwartz",Jacob Kaplan-Moss,[Django](Django_(web_framework)https://en.wikipedia.org/wiki/)
Episode 35,"August 2, 2008","Leo Laporte, Randal Schwartz",[Brian Aker](https://en.wikipedia.org/wiki/Brian_Aker),[Drizzle](Drizzle_(database_server)https://en.wikipedia.org/wiki/)
Episode 36,"August 20, 2008","Leo Laporte, Randal Schwartz",Jan Lehnardt,[CouchDB](https://en.wikipedia.org/wiki/CouchDB)
Episode 37,"August 23, 2008","Leo Laporte, Randal Schwartz",[Evan Prodromou](https://en.wikipedia.org/wiki/Evan_Prodromou),"[Identi.ca](Identi.https://en.wikipedia.org/wiki/ca), [Laconica](https://en.wikipedia.org/wiki/Laconica)"
Episode 38,"August 30, 2008","Leo Laporte, Randal Schwartz",[Mark Spencer](Mark_Spencer_(computer_engineer)https://en.wikipedia.org/wiki/),"[Asterisk](Asterisk_(PBX)https://en.wikipedia.org/wiki/), [Digium](https://en.wikipedia.org/wiki/Digium)"
Episode 39,"September 5, 2008","Leo Laporte, Randal Schwartz",Simon Phipps,[Sun Microsystems](https://en.wikipedia.org/wiki/Sun_Microsystems)
Episode 40,"September 12, 2008","Leo Laporte, Randal Schwartz",[Jeff Robbins](https://en.wikipedia.org/wiki/Jeff_Robbins),Jeff Robbins of Lullabot
Episode 41,"September 19, 2008","Leo Laporte, Randal Schwartz",Shaun B. Walker,[DotNetNuke](https://en.wikipedia.org/wiki/DotNetNuke)
Episode 42,"September 26, 2008","Leo Laporte, Randal Schwartz",Roger Dannenberg,[Audacity](Audacity_(audio_editor)https://en.wikipedia.org/wiki/)
Episode 43,"October 4, 2008","Leo Laporte, Randal Schwartz",Paul Louden,[Rockbox](https://en.wikipedia.org/wiki/Rockbox)
Episode 44,"October 10, 2008","Leo Laporte, Randal Schwartz","Gregory Casamento, Riccardo Mottola",[GNUstep](https://en.wikipedia.org/wiki/GNUstep)
Episode 45,"October 18, 2008","Leo Laporte, Randal Schwartz",Aaron Seigo,[KDE](https://en.wikipedia.org/wiki/KDE)
Episode 46,"October 24, 2008","Leo Laporte, Randal Schwartz","Gareth Greenaway, Shyam Kapadia",[SCALE](https://en.wikipedia.org/wiki/SCALE)
Episode 47,"November 21, 2008","Leo Laporte, Randal Schwartz","George Conard, Adam Monsen",[MicroFinance Open Source](https://en.wikipedia.org/wiki/MicroFinance_Open_Source)
Episode 48,"November 29, 2008","Leo Laporte, Randal Schwartz",Joe Brockmeier,[openSUSE](https://en.wikipedia.org/wiki/openSUSE)
Episode 49,"December 7, 2008","Leo Laporte, Randal Schwartz",Peter Saint-Andre,[XMPP](https://en.wikipedia.org/wiki/Extensible_Messaging_and_Presence_Protocol)
Episode 50,"January 3, 2009","Leo Laporte, Randal Schwartz",Jeff Squyres,[Open MPI](https://en.wikipedia.org/wiki/Open_MPI)
Episode 51,"January 10, 2009","Leo Laporte, Randal Schwartz",[Daniel Stenberg](https://en.wikipedia.org/wiki/Daniel_Stenberg),[cURL](https://en.wikipedia.org/wiki/cURL)
Episode 52,"January 17, 2009","Leo Laporte, Randal Schwartz","[Casey Reas](https://en.wikipedia.org/wiki/Casey_Reas), [Ben Fry](https://en.wikipedia.org/wiki/Benjamin_Fry)",[Processing](Processing_(programming_language)https://en.wikipedia.org/wiki/)
Episode 53,"January 24, 2009","Leo Laporte, Randal Schwartz","Chuck Syperski, Jian Zhang",FOG
Episode 54,"January 30, 2009","Leo Laporte, Randal Schwartz",Quim Gil,[Maemo](Maemo_(operating_system)https://en.wikipedia.org/wiki/)
Episode 55,"February 7, 2009","Leo Laporte, Randal Schwartz",[John Resig](https://en.wikipedia.org/wiki/John_Resig),[jQuery](https://en.wikipedia.org/wiki/jQuery)
Episode 56,"February 14, 2009","Leo Laporte, Randal Schwartz","David Chisnall, Quentin Mathé",Étoilé
Episode 57,"February 21, 2009","Leo Laporte, Randal Schwartz","Scott Davilla, Jonathan Marshall",[XBMC](https://en.wikipedia.org/wiki/XBMC)
Episode 58,"February 28, 2009","Leo Laporte, Randal Schwartz","Aaron Newcomb, David Brittlel",[ZFS](https://en.wikipedia.org/wiki/ZFS)
Episode 59,"March 7, 2009","Leo Laporte, Randal Schwartz","[Bill Kendrick](https://en.wikipedia.org/wiki/Bill_Kendrick), David Bruce",[TuxPaint](https://en.wikipedia.org/wiki/TuxPaint)
Episode 60,"March 14, 2009","Leo Laporte, Randal Schwartz",[David P. Anderson](David_P.https://en.wikipedia.org/wiki/_Anderson),[BOINC](https://en.wikipedia.org/wiki/BOINC)
Episode 61,"March 21, 2009","Leo Laporte, Randal Schwartz",Massimo Banzi,[Arduino](https://en.wikipedia.org/wiki/Arduino)
Episode 62,"March 28, 2009","Leo Laporte, Randal Schwartz",Javier Uruen,[Zentyal](https://en.wikipedia.org/wiki/Zentyal)
Episode 63,"April 4, 2009","Leo Laporte, Randal Schwartz",Agostino Russo,[Wubi](Wubi_(installer)https://en.wikipedia.org/wiki/)
Episode 64,"April 11, 2009","Leo Laporte, Randal Schwartz","Selena Deckelmann, Audrey Eschright",The Open Source Bridge Conference
Episode 65,"April 18, 2009","Leo Laporte, Randal Schwartz",[Jono Bacon](https://en.wikipedia.org/wiki/Jono_Bacon),[Ubuntu](Ubuntu_(operating_system)https://en.wikipedia.org/wiki/)
Episode 66,"April 25, 2009","Leo Laporte, Randal Schwartz",Bryan Berry,Open Learning Exchange Nepal
Episode 67,"May 2, 2009","Leo Laporte, Randal Schwartz",[Ian Pratt](Ian_Pratt_(computer_scientist)https://en.wikipedia.org/wiki/),[Xen](https://en.wikipedia.org/wiki/Xen)
Episode 68,"May 9, 2009","Leo Laporte, Randal Schwartz","Joel Holdsworth, Aaron Newcomb",[Cinelerra](https://en.wikipedia.org/wiki/Cinelerra)
Episode 69,"May 16, 2009","Leo Laporte, Randal Schwartz, Jono Bacon","Sean Moss-Pultz, Christopher Hall",[Openmoko](https://en.wikipedia.org/wiki/Openmoko)
Episode 70,"May 24, 2009","Leo Laporte, Randal Schwartz",Ken Glimer,[Bug Labs](https://en.wikipedia.org/wiki/Bug_Labs)
Episode 71,"May 30, 2009","Leo Laporte, Randal Schwartz",Paul W. Frields,[Fedora](Fedora_(operating_system)https://en.wikipedia.org/wiki/)
Episode 72,"June 6, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",Justin Clark-Casey,[OpenSim](https://en.wikipedia.org/wiki/OpenSimulator)
Episode 73,"June 13, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",[Tim O'Reilly](Tim_O'https://en.wikipedia.org/wiki/Reilly),[O'Reilly Media](O'https://en.wikipedia.org/wiki/Reilly_Media)
Episode 74,"June 20, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",Jeff Sheltren,[OSU Open Source Lab](https://en.wikipedia.org/wiki/OSU_Open_Source_Lab)
Episode 75,"June 27, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",Glynn Foster,[OpenSolaris](https://en.wikipedia.org/wiki/OpenSolaris)
Episode 76,"July 4, 2009","Randal Schwartz, Jono Bacon","Jon A. Cruz, Ted Gould",[Inkscape](https://en.wikipedia.org/wiki/Inkscape)
Episode 77,"July 12, 2009","Leo Laporte, Randal Schwartz",[Jono Bacon](https://en.wikipedia.org/wiki/Jono_Bacon),[Ubuntu](Ubuntu_(operating_system)https://en.wikipedia.org/wiki/)
Episode 78,"July 19, 2009","Randal Schwartz, Jono Bacon","Christopher ""Sean"" Morrison",[BZFlag](https://en.wikipedia.org/wiki/BZFlag)
Episode 79,"July 26, 2009",Randal Schwartz,[David Heinemeier Hansson](https://en.wikipedia.org/wiki/David_Heinemeier_Hansson),[Ruby on Rails](https://en.wikipedia.org/wiki/Ruby_on_Rails)
Episode 80,"August 1, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",Eugene Sandulenko,[ScummVM](https://en.wikipedia.org/wiki/ScummVM)
Episode 81,"August 8, 2009","Leo Laporte, Randal Schwartz",[Steve Coast](https://en.wikipedia.org/wiki/Steve_Coast),[OpenStreetMap](https://en.wikipedia.org/wiki/OpenStreetMap)
Episode 82,"August 15, 2009","Leo Laporte, Randal Schwartz",Michael Foord,[IronPython](https://en.wikipedia.org/wiki/IronPython)
Episode 83,"August 22, 2009","Leo Laporte, Randal Schwartz, Jono Bacon","Jeffrey T. Darlington, [Christopher B. Wright](Christopher_B.https://en.wikipediaght), Chris Kohler",[Webcomics](https://en.wikipedia.org/wiki/Webcomic)
Episode 84,"August 29, 2009","Leo Laporte, Randal Schwartz",Eric Jung,[FoxyProxy](https://en.wikipedia.org/wiki/FoxyProxy)
Episode 85,"September 5, 2009","Leo Laporte, Randal Schwartz",[Jim Zemlin](https://en.wikipedia.org/wiki/Jim_Zemlin),"[Linux Foundation](https://en.wikipedia.org/wiki/Linux_Foundation), [LinuxCon](https://en.wikipedia.org/wiki/LinuxCon)"
Episode 86,"September 12, 2009","Leo Laporte, Jono Bacon",[Paul Davis](Paul_Davis_(programmer)https://en.wikipedia.org/wiki/),[Ardour](Ardour_(audio_processor)https://en.wikipedia.org/wiki/)
Episode 87,"September 19, 2009","Leo Laporte, Randal Schwartz",[Kent Beck](https://en.wikipedia.org/wiki/Kent_Beck),[Extreme programming](https://en.wikipedia.org/wiki/Extreme_programming)
Episode 88,"September 26, 2009","Randal Schwartz, Jono Bacon",[Linus Torvalds](https://en.wikipedia.org/wiki/Linus_Torvalds),[Linux](https://en.wikipedia.org/wiki/Linux)
Episode 89,"October 1, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",[Aaron Roe Fulkerson](https://en.wikipedia.org/wiki/Aaron_Roe_Fulkerson),[MindTouch](https://en.wikipedia.org/wiki/MindTouch)
Episode 90,"October 8, 2009","Alex Lindsay, Randal Schwartz, Jono Bacon",Peter Higgins,[Dojo Toolkit](https://en.wikipedia.org/wiki/Dojo_Toolkit)
Episode 91,"October 15, 2009","Leo Laporte, Jono Bacon",Roy Schestowitz,Boycott Novell
Episode 92,"October 24, 2009","Leo Laporte, Randal Schwartz",[Bre Pettis](https://en.wikipedia.org/wiki/Bre_Pettis),[MakerBot Industries](https://en.wikipedia.org/wiki/MakerBot_Industries)
Episode 93,"November 1, 2009","Leo Laporte, Randal Schwartz",Luke Kanies,[Puppet](Puppet_(software)https://en.wikipedia.org/wiki/)
Episode 94,"November 5, 2009","Leo Laporte, Randal Schwartz",[Rob Savoye](https://en.wikipedia.org/wiki/Rob_Savoye),[Gnash](Gnash_(software)https://en.wikipedia.org/wiki/)
Episode 95,"November 13, 2009","Leo Laporte, Randal Schwartz",Jim Killock,[Open Rights Group](https://en.wikipedia.org/wiki/Open_Rights_Group)
Episode 96,"November 20, 2009","Leo Laporte, Randal Schwartz","Jason Stajich, Chris Fields",[BioPerl](https://en.wikipedia.org/wiki/BioPerl)
Episode 97,"December 1, 2009","Leo Laporte, Randal Schwartz",Wolfgang Meier,[eXist](https://en.wikipedia.org/wiki/eXist)
Episode 98,"December 3, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",Joe Brockmeier,[openSUSE](https://en.wikipedia.org/wiki/openSUSE)
Episode 99,"December 10, 2009","Leo Laporte, Jono Bacon",[Stuart Langridge](https://en.wikipedia.org/wiki/Stuart_Langridge),[Ubuntu One](https://en.wikipedia.org/wiki/Ubuntu_One)
Episode 100,"December 17, 2009","Leo Laporte, Randal Schwartz, Jono Bacon",Chris DiBona,100th anniversary and [Google](https://en.wikipedia.org/wiki/Google)
Episode 101,"December 24, 2009","Leo Laporte, Randal Schwartz, Jono Bacon","Scott Ullrich, Chris Buechler",[pfSense](https://en.wikipedia.org/wiki/pfSense)
Episode 102,"January 1, 2010","Leo Laporte, Randal Schwartz",Frank Wierzbicki,[Jython](https://en.wikipedia.org/wiki/Jython)
Episode 103,"January 6, 2010","Leo Laporte, Randal Schwartz",Jeff Davis,Open Source [Service-oriented architecture](Service-https://en.wikipedia.org/wiki/oriented_architecture)
Episode 104,"January 14, 2010","Leo Laporte, Randal Schwartz, Jono Bacon",[Randi Harper](https://en.wikipedia.org/wiki/Randi_Harper),[FreeBSD](https://en.wikipedia.org/wiki/FreeBSD)
Episode 105,"January 22, 2010","Leo Laporte, Randal Schwartz",Michael Dirolf,[MongoDB](https://en.wikipedia.org/wiki/MongoDB)
Episode 106,"February 1, 2010",Randal Schwartz,[Mark Burgess](Mark_Burgess_(computer_scientist)https://en.wikipedia.org/wiki/),[Cfengine](https://en.wikipedia.org/wiki/Cfengine)
Episode 107,"February 4, 2010","Leo Laporte, Randal Schwartz",Matthew Gates,[Stellarium](Stellarium_(software)https://en.wikipedia.org/wiki/)
Episode 108,"February 11, 2010","Leo Laporte, Randal Schwartz, Jono Bacon",Henrique Bastos,[Python](Python_(programming_language)https://en.wikipedia.org/wiki/)/[pyCon](https://en.wikipedia.org/wiki/pyCon)
Episode 109,"February 18, 2010","Leo Laporte, Randal Schwartz",Sebastian Brannstrom,[Symbian](https://en.wikipedia.org/wiki/Symbian)
Episode 110,"February 25, 2010","Leo Laporte, Randal Schwartz, Jono Bacon",Jamie Camron,[Webmin](https://en.wikipedia.org/wiki/Webmin)
Episode 111,"March 4, 2010","Leo Laporte, Randal Schwartz, Jono Bacon",Bill Hoffman,[CMake](https://en.wikipedia.org/wiki/CMake)
Episode 112,"March 10, 2010","Leo Laporte, Randal Schwartz, Jono Bacon",Carlos Puchol,[Amahi](Home_server#https://en.wikipedia.org/wiki/Media_serving)
Episode 113,"March 18, 2010","Leo Laporte, Jono Bacon",[Simon Phipps](Simon_Phipps_(programmer)https://en.wikipedia.org/wiki/),Former Open Source Program Manager at [Sun Microsystems](https://en.wikipedia.org/wiki/Sun_Microsystems)
Episode 114,"March 25, 2010","Leo Laporte, Jono Bacon",Amber Graner,[Ada Lovelace Day](Ada_Lovelace#https://en.wikipedia.org/wiki/Commemoration)
Episode 115,"April 1, 2010","Leo Laporte, Randal Schwartz, Jono Bacon",Doug Smith,ACM/IEEE Super Computing Challenge
Episode 116,"April 8, 2010","Leo Laporte, Randal Schwartz",James Snyder,eLua
Episode 117,"April 20, 2010",Randal Schwartz,Bob Jacobsen,[JMRI.org](https://en.wikipedia.org/wiki/Java_Model_Railroad_Interface)
Episode 118,"April 22, 2010","Randal Schwartz, Randi Harper",Shawn Pearce,[Gerrit](Gerrit_(software)https://en.wikipedia.org/wiki/)
Episode 119,"May 6, 2010","Randal Schwartz, Aaron Newcomb","Scott Maxwell, Paolo Bellutta",Mars Rover Driver Team
Episode 120,"May 13, 2010","Randal Schwartz, Aaron Seigo",Ryan Leavengood and Niels Sascha Reedijk,[Haiku OS](Haiku_(operating_system)https://en.wikipedia.org/wiki/)
Episode 121,"May 27, 2010","Randal Schwartz, Dan Lynch",Jonathan Simpson,[Freenode](https://en.wikipedia.org/wiki/Freenode)
Episode 122,"June 3, 2010","Randal Schwartz, Aaron Seigo",[Matt Mackall](https://en.wikipedia.org/wiki/Matt_Mackall),[Mercurial](https://en.wikipedia.org/wiki/Mercurial)
Episode 123,"June 10, 2010","Randal Schwartz, Aaron Newcomb",Nichole Yankelovich,[Open Wonderland](https://en.wikipedia.org/wiki/Open_Wonderland)
Episode 124,"June 17, 2010","Randal Schwartz, Simon Phipps","Matt Ray, Mark Hinkle",Zenoss
Episode 125,"June 23, 2010","Randal Schwartz, Aaron Seigo",David Pollack,[The Lift Web Framework](Lift_(web_framework)https://en.wikipedia.org/wiki/)
Episode 126,"July 7, 2010","Randal Schwartz, Aaron Newcomb",Michael Iedema,[AskoziaPBX](https://en.wikipedia.org/wiki/AskoziaPBX)
Episode 127,"July 14, 2010","Randal Schwartz, Randi Harper",Guillermo Amaral,Open source software development in Mexico
Episode 128,"July 22, 2010","Randal Schwartz, Simon Phipps",Rick Clark,[OpenStack](https://en.wikipedia.org/wiki/OpenStack)
Episode 129,"August 6, 2010","Randal Schwartz, Aaron Seigo",Andy Gross,[Riak](https://en.wikipedia.org/wiki/Riak)
Episode 130,"August 11, 2010","Randal Schwartz, Simon Phipps","Andy Hall, Achim Hasenmuller",[VirtualBox](https://en.wikipedia.org/wiki/VirtualBox)
Episode 131,"August 20, 2010","Randal Schwartz, Dan Lynch",Stephen Hemminger,[Vyatta](https://en.wikipedia.org/wiki/Vyatta)
Episode 132,"August 27, 2010","Randal Schwartz, Dan Lynch","Dan Scott, Mike Rylander",[Evergreen Library System](Evergreen_(software)https://en.wikipedia.org/wiki/)
Episode 133,"September 2, 2010","Randal Schwartz, Scott Wilkinson",Thomas Cherryhomes,[LinuxMCE](https://en.wikipedia.org/wiki/LinuxMCE)
Episode 134,"September 8, 2010","Randal Schwartz, Aaron Newcomb",[Walter Bender](https://en.wikipedia.org/wiki/Walter_Bender),[SugarLabs](https://en.wikipedia.org/wiki/SugarLabs)
Episode 135,"September 16, 2010","Randal Schwartz, Dan Lynch",Patrick Balleux,WebcamStudio
Episode 136,"September 23, 2010",Randal Schwartz,Carsten Dominik,[Org-mode](Org-https://en.wikipedia.org/wiki/mode)
Episode 137,"September 29, 2010","Randal Schwartz, Dan Lynch",Alexander Limi,[Plone](Plone_(software)https://en.wikipedia.org/wiki/)
Episode 138,"October 11, 2010","Randal Schwartz, Aaron Newcomb",Ross Boucher,[Cappuccino](Cappuccino_(application_development_framework)https://en.wikipedia.org/wiki/)
Episode 139,"October 13, 2010","Randal Schwartz, Simon Phipps","Luis Sala, John Newton",[Alfresco](Alfresco_(software)https://en.wikipedia.org/wiki/)
Episode 140,"October 29, 2010",Randal Schwartz,Patrick Michaud,[Rakudo Perl](https://en.wikipedia.org/wiki/Rakudo)
Episode 141,"November 10, 2010","Randal Schwartz, Aaron Newcomb",James Phillips,[Membase](https://en.wikipedia.org/wiki/Membase)
Episode 142,"November 17, 2010","Randal Schwartz, Dan Lynch",Karanbir Singh,[CentOS](https://en.wikipedia.org/wiki/CentOS)
Episode 143,"November 29, 2010","Randal Schwartz, Aaron Newcomb","Jonathan Abbey, Volker Bauer",[Ganymede](Ganymede_(software)https://en.wikipedia.org/wiki/)
Episode 144,"December 2, 2010","Randal Schwartz, Dan Lynch",Thomas Goirand,[Domain Technologie Control](https://en.wikipedia.org/wiki/Domain_Technologie_Control)
Episode 145,"December 16, 2010",Randal Schwartz,[Jono Bacon](https://en.wikipedia.org/wiki/Jono_Bacon),[Severed Fifth](https://en.wikipedia.org/wiki/Severed_Fifth)
Episode 146,"December 30, 2010","Randal Schwartz, Simon Phipps",Marc Laporte,[Tiki Wiki CMS Groupware](https://en.wikipedia.org/wiki/Tiki_Wiki_CMS_Groupware)
Episode 147,"January 5, 2011","Dan Lynch, Aaron Newcomb",Fred Dixon,[BigBlueButton](https://en.wikipedia.org/wiki/BigBlueButton)
Episode 148,"January 12, 2011","Randal Schwartz, Aaron Newcomb","James Cotton, David Ankers",[OpenPilot](https://en.wikipedia.org/wiki/OpenPilot)
Episode 149,"January 19, 2011","Randal Schwartz, Dan Lynch",John Hogg,[VoltDB](https://en.wikipedia.org/wiki/VoltDB)
Episode 150,"January 26, 2011","Randal Schwartz, Aaron Newcomb",John Wiegley,[Ledger](Ledger_(software)https://en.wikipedia.org/wiki/)
Episode 151,"February 2, 2011","Dan Lynch, Aaron Newcomb","Chris Donough, Mark Ramm",[Pylons](Pylons_project#https://en.wikipedia.org/wiki/Pylons_Framework)
Episode 152,"February 9, 2011","Dan Lynch, Simon Phipps",[Fosdem](https://en.wikipedia.org/wiki/Fosdem)
Episode 153,"February 16, 2011","Dan Lynch, Aaron Newcomb",Venkat Ramasamy,[Tonidoplug](https://en.wikipedia.org/wiki/Tonido)
Episode 154,"February 23, 2011","Randal Schwartz, Simon Phipps",Jeremy Carbaugh,[Sunlight Labs](https://en.wikipedia.org/wiki/Sunlight_Foundation)
Episode 155,"March 2, 2011","Randal Schwartz, Aaron Newcomb","Ludovic Marcotte, Oliver Bilodeau",[PacketFence](https://en.wikipedia.org/wiki/PacketFence)
Episode 156,"March 9, 2011","Dan Lynch, Aaron Newcomb",Dan Walsh,[SELinux](https://en.wikipedia.org/wiki/SELinux)
Episode 157,"March 16, 2011","Randal Schwartz, Aaron Newcomb","Michael Yap, Tiensoon Law",[Joget Workflow](https://en.wikipedia.org/wiki/Joget_Workflow)
Episode 158,"March 23, 2011","Randal Schwartz, Dan Lynch","Darren Schreiber, James Aimonetti",2600hz
Episode 159,"March 30, 2011","Randal Schwartz, Dan Lynch",[Gilad Bracha](https://en.wikipedia.org/wiki/Gilad_Bracha),[Newspeak](Newspeak_(programming_language)https://en.wikipedia.org/wiki/)
Episode 160,"April 6, 2011","Randal Schwartz, Simon Phipps",David A. Wheeler,Open Source Software at the [Department of Defense](https://en.wikipedia.org/wiki/United_States_Department_of_Defense)
Episode 161,"April 13, 2011","Randal Schwartz, Randi Harper",Jason Huggins,[Selenium](Selenium_(software)https://en.wikipedia.org/wiki/)
Episode 162,"April 20, 2011","Randal Schwartz, Aaron Newcomb",Emil Ivov,[Jitsi](https://en.wikipedia.org/wiki/Jitsi)
Episode 163,"April 28, 2011","Randal Schwartz, Simon Phipps","Philip Brown, Ben Walton",[OpenCSW](https://en.wikipedia.org/wiki/OpenCSW)
